              x	              y	              z	           time	in	          pH	          Ca	          Mg	          Na	          Cl	        C(4)	         SO4	          As	
          78000	          42000	            200	          12000	 1	      8.6093	  1.7121e+00	  7.2131e-01	  2.2959e+02	  8.4070e+00	  5.3683e+02	  2.2574e+01	  5.0265e+01	
          84000	          42000	            200	          12000	 1	      8.6083	  1.7151e+00	  7.2265e-01	  2.2975e+02	  8.4457e+00	  5.3701e+02	  2.2574e+01	  5.0057e+01	
          90000	          42000	            200	          12000	 1	     8.60845	  1.7149e+00	  7.2255e-01	  2.2961e+02	  8.4145e+00	  5.3686e+02	  2.2574e+01	  5.0085e+01	
              0	          48000	            200	          12000	 1	     5.70225	  1.8113e+04	  3.8544e+03	  1.2148e+05	  2.3005e+05	  2.5311e+02	  4.4372e+02	  7.7765e-01	
           6000	          48000	            200	          12000	 1	     5.65516	  1.6348e+04	  3.6445e+03	  1.1217e+05	  2.1194e+05	  3.0857e+02	  4.1057e+02	  9.1985e-01	
          12000	          48000	            200	          12000	 1	     5.53268	  1.2458e+04	  3.0956e+03	  9.0423e+04	  1.6970e+05	  5.7844e+02	  3.3324e+02	  1.3098e+00	
          18000	          48000	            200	          12000	 1	     5.51047	  7.9689e+03	  2.2842e+03	  6.2780e+04	  1.1614e+05	  1.2309e+03	  2.3517e+02	  1.2575e+00	
          24000	          48000	            200	          12000	 1	     5.70216	  3.9060e+03	  1.3095e+03	  3.5228e+04	  6.3028e+04	  1.8464e+03	  1.3794e+02	  5.2378e-01	
          30000	          48000	            200	          12000	 1	     6.63477	  1.8188e+02	  7.6789e+01	  3.9555e+03	  5.2892e+03	  1.3905e+03	  3.2239e+01	  9.2760e-02	
          36000	          48000	            200	          12000	 1	     7.44875	  1.9034e+01	  8.3101e+00	  1.0242e+03	  8.0417e+02	  9.4995e+02	  2.4030e+01	  5.6749e-01	
          42000	          48000	            200	          12000	 1	     7.75217	  9.1595e+00	  4.0007e+00	  6.8447e+02	  3.7036e+02	  8.4757e+02	  2.3236e+01	  1.6463e+00	
          48000	          48000	            200	          12000	 1	     8.08574	  4.5965e+00	  1.9965e+00	  4.4895e+02	  1.6116e+02	  7.0363e+02	  2.2853e+01	  5.9504e+00	
          54000	          48000	            200	          12000	 1	     8.51508	  2.0161e+00	  8.5606e-01	  2.6477e+02	  2.8299e+01	  5.6713e+02	  2.2610e+01	  3.4072e+01	
