x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	[X5]	
1.05904	0.838429	1	0.271183	0.180865	3.55481e-011	0.0320979	9.35926e-005	5.49634e-012	6.44848e-012	0.176944	1.09533e-013	0.157524	1.74353e-007	0.0881282	2.61645	5.56848e-007	3.69178	0.271183	-11.1463	0.472574	4.2346	9.35926e-005	10	17.8546	99.9848	0	0	5	0.5	46	1.00454	1.75367	-0.20791	0.145331	0.270047	0.490331	0.553078	9.72786e-005	
1.03183	0.85294	1	0.28065	0.163725	4.07549e-011	0.0222726	7.60902e-005	6.07175e-012	6.69236e-012	0.135635	6.24814e-014	0.110603	9.70756e-008	0.0941084	2.69145	4.87138e-007	3.65427	0.28065	-11.2452	0.33181	4.111	7.60902e-005	10	17.1101	99.991	0	0	5	0.5	47	1.00113	1.19375	-0.207902	0.0975749	0.279598	0.349724	0.462751	7.90379e-005	
1.04841	0.878942	1	0.264551	0.193717	3.21506e-011	0.0427696	7.23224e-005	5.13168e-012	6.2466e-012	0.220131	1.78088e-013	0.204352	2.56262e-007	0.0903485	2.52756	5.97779e-007	3.73622	0.264551	-11.1404	0.613058	4.38417	7.23224e-005	10	10.7902	99.9997	0	0	5	0.5	48	1.00004	2.34672	-0.207809	0.182161	0.262681	0.642541	0.65269	7.36007e-005	
1.1	0.80625	1	0.136554	1.56145	1.94716e-012	0.173766	0.000684	6.3665e-013	3.0494e-012	0.110956	1.71356e-016	0.77854	0.0659038	8.36967e-008	9.22732	6.92155e-005	0.386306	0.136554	4.06498	2.5334	1.44957	0.000684	10	0	99.7664	0	0	3.75	0.375	49	1.01223	9.15467	-0.207897	0.823915	0.13433	2.56287	1.05724	0.000719015	
1.0628	0.769093	1	0.274231	0.17479	3.70568e-011	0.0287324	8.31893e-005	5.68738e-012	6.49635e-012	0.163897	9.38939e-014	0.139329	1.40343e-007	0.092815	2.62564	5.25768e-007	3.68718	0.274231	-11.2358	0.417988	4.20477	8.31893e-005	10	18.0637	99.9848	0	0	5	0.5	50	1.00699	1.53728	-0.207909	0.129156	0.273282	0.432575	0.526144	8.65364e-005	
1	0.871875	1	0.184745	1.34478	2.82483e-012	0.077363	0.000397825	7.39226e-013	3.81004e-012	0.0573583	3.98752e-017	0.582261	0.0451773	5.48097e-008	9.43675	6.56012e-005	0.281594	0.184745	3.22365	1.88238	0.998576	0.000397825	10	0	99.8972	0	0	3.92857	0.392857	51	0.998002	6.65715	-0.207911	0.585674	0.181978	1.92214	0.720463	0.00041614	
1.03393	0.82411	1	0.286733	0.151257	4.3307e-011	0.0175923	5.9371e-005	6.57224e-012	6.5699e-012	0.115963	4.49137e-014	0.0763585	5.27537e-008	0.110643	2.68949	4.07865e-007	3.65525	0.286733	-11.5102	0.229076	4.08645	5.9371e-005	10	17.1829	99.9945	0	0	5	0.5	52	1.00225	0.8189	-0.207912	0.0662482	0.285863	0.244354	0.435355	6.16768e-005	
1.07833	0.805385	1	0.219912	0.292336	1.7806e-011	0.100662	0.000268892	3.40052e-012	5.22077e-012	0.343317	2.47936e-013	0.423736	2.66661e-006	0.0186064	2.96379	1.33416e-006	3.5181	0.219912	-9.05916	1.27122	4.42303	0.000268892	10	0	99.9278	0	0	5	0.5	53	1.00855	4.77794	-0.207905	0.404834	0.218146	1.29636	0.899555	0.000281302	
1.06681	0.788844	1	0.268653	0.185324	3.44848e-011	0.0343799	9.91333e-005	5.3641e-012	6.40979e-012	0.184964	1.1845e-013	0.16979	2.03058e-007	0.0832075	2.62131	5.82213e-007	3.68934	0.268653	-11.0542	0.50937	4.24489	9.91333e-005	10	17.2801	99.9814	0	0	5	0.5	54	1.007	1.88701	-0.207909	0.15784	0.267545	0.526254	0.56613	0.000103122	
1.08977	0.790625	1	0.190518	0.484666	8.43355e-012	0.169942	0.000391463	2.05109e-012	4.09958e-012	0.349601	7.47922e-014	0.574257	4.44522e-005	0.000929087	4.35966	4.2358e-006	2.82017	0.190518	-6.03539	1.72291	3.91583	0.000391463	10	0	99.8828	0	0	5	0.5	55	1.01118	6.43935	-0.207902	0.553149	0.188483	1.75112	1.04825	0.000410279	
1.03891	0.784227	1	0.292144	0.139844	4.29758e-011	0.0138976	3.92602e-005	7.10861e-012	6.02772e-012	0.0990855	3.00734e-014	0.043071	2.35252e-008	0.12934	2.68993	3.19918e-007	3.65503	0.292144	-11.7868	0.129213	4.06977	3.92602e-005	10	17.7552	99.9967	0	0	5	0.5	56	1.00347	0.454723	-0.207912	0.0375446	0.291604	0.138804	0.416553	4.09291e-005	
1.08112	0.773803	1	0.226451	0.275006	1.95489e-011	0.089357	0.000246068	3.61481e-012	5.392e-012	0.323967	2.43139e-013	0.389821	1.91522e-006	0.0239067	2.88597	1.18737e-006	3.55701	0.226451	-9.35195	1.16947	4.40797	0.000246068	10	0	99.9334	0	0	5	0.5	57	1.01038	4.39086	-0.207905	0.37175	0.224763	1.19358	0.853929	0.000257304	
1.1	0.7125	1	0.182734	0.640161	5.71989e-012	0.191206	0.000430197	1.55288e-012	3.67251e-012	0.297801	2.37384e-014	0.613516	0.000224125	0.000126966	5.54493	8.4197e-006	2.22753	0.182734	-3.88492	1.84123	3.33031	0.000430197	10	0	99.865	0	0	3.75	0.375	58	1.01413	6.8403	-0.207901	0.592351	0.180643	1.87001	1.05328	0.000451071	
1.1	0.74375	1	0.166894	0.917574	3.52861e-012	0.217425	0.00051142	1.08339e-012	3.24736e-012	0.236256	5.10132e-015	0.691333	0.001926	9.21483e-006	7.14421	1.97072e-005	1.42788	0.166894	-0.817755	2.0798	2.57292	0.00051142	10	0	99.8334	0	0	3.57143	0.357143	59	1.01392	7.66681	-0.2079	0.671868	0.164739	2.10909	1.08296	0.000536749	
1.07735	0.750481	1	0.24362	0.230289	2.53216e-011	0.0647732	0.000175083	4.31673e-012	5.84857e-012	0.280438	2.43949e-013	0.301969	7.05724e-007	0.0519523	2.64172	8.26685e-007	3.67914	0.24362	-10.2953	0.90591	4.43023	0.000175083	10	0.00561706	99.9587	0	0	5	0.5	60	1.00993	3.42002	-0.207907	0.285146	0.242084	0.928253	0.765753	0.000182584	
1.1	0.68125	1	0.199941	0.446468	9.57055e-012	0.14804	0.00035158	2.22658e-012	4.28561e-012	0.330601	7.7917e-014	0.526445	2.85853e-005	0.00135969	4.1911	3.61226e-006	2.90445	0.199941	-6.50228	1.57942	3.91226	0.00035158	10	0	99.8943	0	0	3.75	0.375	61	1.01405	5.89213	-0.207903	0.505755	0.197962	1.60704	0.980718	0.000368233	
1.08303	0.728125	1	0.235391	0.249843	2.25255e-011	0.0757552	0.000207088	3.97887e-012	5.64453e-012	0.302314	2.50584e-013	0.344436	1.12236e-006	0.0370237	2.74159	9.74595e-007	3.6292	0.235391	-9.85852	1.03331	4.42576	0.000207088	10	0	99.9472	0	0	5	0.5	62	1.01095	3.88866	-0.207906	0.326751	0.233763	1.05678	0.807191	0.00021622	
1	0.73125	1	0.286729	0.150894	4.59311e-011	0.015863	7.10511e-005	6.58803e-012	6.95128e-012	0.104816	3.52607e-014	0.0813574	6.14432e-008	0.091705	2.80059	4.47216e-007	3.5997	0.286729	-11.1612	0.244073	3.98515	7.10511e-005	10	0	99.9945	0	0	3.75	0.375	63	1.00095	0.832684	-0.207913	0.0672294	0.285667	0.263975	0.389284	7.38325e-005	
