x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	[X5]	
1.05904	0.838429	1	0.299113	0.15304	3.18356e-009	0	0.176603	6.49564e-012	4.88658e-010	0	0	0	0.0235629	0	9.99988	0.00011547	0	0.299113	0.389016	0.0708043	0	0.176603	10	0	81.251	0	0	5	0.5	46	19.1377	0.813908	1.61909	-0.0450103	-0.207911	1.49691e-009	0.299113	0.061775	-1.80144e-068	0.185488	
1.03183	0.85294	1	0.299113	0.155107	3.03695e-009	0	0.178497	6.40911e-012	4.72447e-010	0	0	0	0.0233908	0	9.99988	0.000114674	0	0.299113	0.389359	0.0702872	0	0.178497	10	0	81.0638	0	0	5	0.5	47	19.1436	0.808084	1.61702	-0.0448493	-0.20791	1.49436e-009	0.299113	0.0611642	-1.75725e-068	0.187481	
1.04841	0.878942	1	0.299113	0.15544	3.00874e-009	0	0.178679	6.39535e-012	4.69066e-010	0	0	0	0.0232392	0	9.99989	0.000114344	0	0.299113	0.388175	0.069832	0	0.178679	10	0	81.0473	0	0	5	0.5	48	19.1445	0.80715	1.62354	-0.0460684	-0.20791	1.49204e-009	0.299113	0.0606934	-1.76261e-068	0.187674	
1.1	0.80625	1	0.299113	0.151196	3.31388e-009	0	0.174737	6.57489e-012	5.0253e-010	0	0	0	0.0235416	0	9.99988	0.000115903	0	0.299113	0.386959	0.0707406	0	0.174737	10	0	81.4327	0	0	3.75	0.375	49	19.1324	0.819174	1.62256	-0.0469211	-0.207911	1.49682e-009	0.299113	0.0617902	-1.85536e-068	0.183531	
1.0628	0.769093	1	0.299113	0.148538	3.54538e-009	0	0.172681	6.69253e-012	5.28184e-010	0	0	0	0.024143	0	9.99988	0.000117574	0	0.299113	0.390321	0.0725467	0	0.172681	10	0	81.6312	0	0	5	0.5	50	19.1246	0.826877	1.60862	-0.0432952	-0.207911	1.50547e-009	0.299113	0.0637244	-1.87582e-068	0.181356	
1	0.871875	1	0.299113	0.158416	2.81004e-009	0	0.181303	6.2752e-012	4.46477e-010	0	0	0	0.0228861	0	9.99989	0.000113045	0	0.299113	0.387617	0.0687714	0	0.181303	10	0	80.7716	0	0	3.92857	0.392857	51	19.1528	0.798914	1.61953	-0.0469068	-0.20791	1.48667e-009	0.299113	0.0594908	-1.70693e-068	0.190443	
1.03393	0.82411	1	0.299113	0.153902	3.12514e-009	0	0.177479	6.45927e-012	4.82392e-010	0	0	0	0.0235768	0	9.99988	0.000115277	0	0.299113	0.390016	0.0708457	0	0.177479	10	0	81.1646	0	0	5	0.5	52	19.1402	0.81147	1.6125	-0.0440816	-0.207911	1.497e-009	0.299113	0.0617782	-1.77403e-068	0.186407	
1.07833	0.805385	1	0.299113	0.151195	3.32026e-009	0	0.174871	6.57494e-012	5.03493e-010	0	0	0	0.023676	0	9.99988	0.000116123	0	0.299113	0.388303	0.0711443	0	0.174871	10	0	81.4196	0	0	5	0.5	53	19.1324	0.819178	1.61912	-0.0455653	-0.207911	1.49863e-009	0.299113	0.0621971	-1.84345e-068	0.183667	
1.06681	0.788844	1	0.299113	0.149985	3.42287e-009	0	0.173923	6.62796e-012	5.14901e-010	0	0	0	0.0239376	0	9.99988	0.000116862	0	0.299113	0.389712	0.0719297	0	0.173923	10	0	81.5109	0	0	5	0.5	54	19.1288	0.822666	1.61299	-0.0440384	-0.207911	1.50241e-009	0.299113	0.0630403	-1.85377e-068	0.182665	
1.08977	0.790625	1	0.299113	0.149707	3.4368e-009	0	0.173494	6.64025e-012	5.16041e-010	0	0	0	0.0237866	0	9.99988	0.000116687	0	0.299113	0.387923	0.0714764	0	0.173494	10	0	81.5535	0	0	5	0.5	55	19.128	0.82347	1.61835	-0.0458153	-0.207911	1.50047e-009	0.299113	0.0625965	-1.87545e-068	0.182219	
