              x	              y	              z	           time	in	          Cl	
            260	            110	              0           1000	 1	  8.6768e-03	
            270	            110	              0           1000	 1	  4.6006e-03	
            280	            110	              0           1000	 1	  2.3323e-03	
            290	            110	              0           1000	 1	  1.1805e-03	
            300	            110	              0           1000	 1	  8.1516e-04	
              0            120	              0           1000	 1	  9.3279e-01	
             10	            120	              0           1000	 1	  9.3137e-01	
             20	            120	              0           1000	 1	  9.2716e-01	
             30	            120	              0           1000	 1	  9.1999e-01	
             40	            120	              0           1000	 1	  9.0951e-01	
             50	            120	              0           1000	 1	  8.9518e-01	
             60	            120	              0           1000	 1	  8.7629e-01	
             70	            120	              0           1000	 1	  8.5206e-01	
             80	            120	              0           1000	 1	  8.2165e-01	
             90	            120	              0           1000	 1	  7.8432e-01	
            100	            120	              0           1000	 1	  7.3953e-01	
            110	            120	              0           1000	 1	  6.8713e-01	
            120	            120	              0           1000	 1	  6.2748e-01	
            130	            120	              0           1000	 1	  5.6162e-01	
            140	            120	              0           1000	 1	  4.9126e-01	
            150	            120	              0           1000	 1	  4.1874e-01	
            160	            120	              0           1000	 1	  3.4680e-01	
            170	            120	              0           1000	 1	  2.7829e-01	
            180	            120	              0           1000	 1	  2.1578e-01	
            190	            120	              0           1000	 1	  1.6126e-01	
            200	            120	              0           1000	 1	  1.1589e-01	
            210	            120	              0           1000	 1	  7.9907e-02	
            220	            120	              0           1000	 1	  5.2767e-02	
            230	            120	              0           1000	 1	  3.3314e-02	
            240	            120	              0           1000	 1	  2.0079e-02	
            250	            120	              0           1000	 1	  1.1540e-02	
            260	            120	              0           1000	 1	  6.3180e-03	
            270	            120	              0           1000	 1	  3.2942e-03	
            280	            120	              0           1000	 1	  1.6424e-03	
            290	            120	              0           1000	 1	  8.1746e-04	
            300	            120	              0           1000	 1	  5.5863e-04	
              0            130	              0           1000	 1	  8.9968e-01	
             10	            130	              0           1000	 1	  8.9788e-01	
             20	            130	              0           1000	 1	  8.9257e-01	
             30	            130	              0           1000	 1	  8.8361e-01	
             40	            130	              0           1000	 1	  8.7067e-01	
             50	            130	              0           1000	 1	  8.5325e-01	
             60	            130	              0           1000	 1	  8.3075e-01	
             70	            130	              0           1000	 1	  8.0251e-01	
             80	            130	              0           1000	 1	  7.6790e-01	
             90	            130	              0           1000	 1	  7.2647e-01	
            100	            130	              0           1000	 1	  6.7802e-01	
            110	            130	              0           1000	 1	  6.2281e-01	
            120	            130	              0           1000	 1	  5.6162e-01	
            130	            130	              0           1000	 1	  4.9582e-01	
            140	            130	              0           1000	 1	  4.2737e-01	
            150	            130	              0           1000	 1	  3.5864e-01	
            160	            130	              0           1000	 1	  2.9221e-01	
            170	            130	              0           1000	 1	  2.3053e-01	
            180	            130	              0           1000	 1	  1.7565e-01	
            190	            130	              0           1000	 1	  1.2894e-01	
            200	            130	              0           1000	 1	  9.0997e-02	
            210	            130	              0           1000	 1	  6.1608e-02	
            220	            130	              0           1000	 1	  3.9943e-02	
            230	            130	              0           1000	 1	  2.4760e-02	
            240	            130	              0           1000	 1	  1.4654e-02	
            250	            130	              0           1000	 1	  8.2712e-03	
            260	            130	              0           1000	 1	  4.4482e-03	
            270	            130	              0           1000	 1	  2.2787e-03	
            280	            130	              0           1000	 1	  1.1164e-03	
            290	            130	              0           1000	 1	  5.4595e-04	
            300	            130	              0           1000	 1	  3.6899e-04	
              0            140	              0           1000	 1	  8.5545e-01	
             10	            140	              0           1000	 1	  8.5327e-01	
             20	            140	              0           1000	 1	  8.4682e-01	
             30	            140	              0           1000	 1	  8.3602e-01	
             40	            140	              0           1000	 1	  8.2060e-01	
             50	            140	              0           1000	 1	  8.0017e-01	
             60	            140	              0           1000	 1	  7.7426e-01	
             70	            140	              0           1000	 1	  7.4240e-01	
             80	            140	              0           1000	 1	  7.0424e-01	
             90	            140	              0           1000	 1	  6.5963e-01	
            100	            140	              0           1000	 1	  6.0876e-01	
            110	            140	              0           1000	 1	  5.5227e-01	
            120	            140	              0           1000	 1	  4.9126e-01	
            130	            140	              0           1000	 1	  4.2737e-01	
            140	            140	              0           1000	 1	  3.6264e-01	
            150	            140	              0           1000	 1	  2.9932e-01	
            160	            140	              0           1000	 1	  2.3970e-01	
            170	            140	              0           1000	 1	  1.8575e-01	
            180	            140	              0           1000	 1	  1.3895e-01	
            190	            140	              0           1000	 1	  1.0011e-01	
            200	            140	              0           1000	 1	  6.9323e-02	
