              x	              y	              z	           time	in	          Cl	
          8e-05	        0.00014	              0              4	 1	  1.5446e-02	
         0.0001	        0.00014	              0              4	 1	  1.2287e-02	
        0.00012	        0.00014	              0              4	 1	  9.3008e-03	
        0.00014	        0.00014	              0              4	 1	  6.7044e-03	
        0.00016	        0.00014	              0              4	 1	  4.6058e-03	
        0.00018	        0.00014	              0              4	 1	  3.0181e-03	
         0.0002	        0.00014	              0              4	 1	  1.8883e-03	
        0.00022	        0.00014	              0              4	 1	  1.1291e-03	
        0.00024	        0.00014	              0              4	 1	  6.4599e-04	
        0.00026	        0.00014	              0              4	 1	  3.5398e-04	
        0.00028	        0.00014	              0              4	 1	  1.8600e-04	
         0.0003	        0.00014	              0              4	 1	  9.3820e-05	
        0.00032	        0.00014	              0              4	 1	  4.5482e-05	
        0.00034	        0.00014	              0              4	 1	  2.1215e-05	
        0.00036	        0.00014	              0              4	 1	  9.5322e-06	
        0.00038	        0.00014	              0              4	 1	  4.1304e-06	
         0.0004	        0.00014	              0              4	 1	  1.7279e-06	
        0.00042	        0.00014	              0              4	 1	  6.9865e-07	
        0.00044	        0.00014	              0              4	 1	  2.7332e-07	
        0.00046	        0.00014	              0              4	 1	  1.0357e-07	
        0.00048	        0.00014	              0              4	 1	  3.8052e-08	
         0.0005	        0.00014	              0              4	 1	  1.3569e-08	
        0.00052	        0.00014	              0              4	 1	  4.7006e-09	
        0.00054	        0.00014	              0              4	 1	  1.5835e-09	
        0.00056	        0.00014	              0              4	 1	  5.1923e-10	
        0.00058	        0.00014	              0              4	 1	  1.6585e-10	
         0.0006	        0.00014	              0              4	 1	  5.1652e-11	
        0.00062	        0.00014	              0              4	 1	  1.5693e-11	
        0.00064	        0.00014	              0              4	 1	  4.6518e-12	
        0.00066	        0.00014	              0              4	 1	  1.3427e-12	
        0.00068	        0.00014	              0              4	 1	  3.7363e-13	
         0.0007	        0.00014	              0              4	 1	  9.5449e-14	
        0.00072	        0.00014	              0              4	 1	  1.6883e-14	
        0.00074	        0.00014	              0              4	 1	  0 
        0.00076	        0.00014	              0              4	 1	  0 
        0.00078	        0.00014	              0              4	 1	  0 
         0.0008	        0.00014	              0              4	 1	  0 
        0.00082	        0.00014	              0              4	 1	  0 
        0.00084	        0.00014	              0              4	 1	  0 
        0.00086	        0.00014	              0              4	 1	  0 
        0.00088	        0.00014	              0              4	 1	  0 
         0.0009	        0.00014	              0              4	 1	  0 
        0.00092	        0.00014	              0              4	 1	  0 
        0.00094	        0.00014	              0              4	 1	  0 
        0.00096	        0.00014	              0              4	 1	  0 
        0.00098	        0.00014	              0              4	 1	  0 
          0.001	        0.00014	              0              4	 1	  0 
              0        0.00016	              0              4	 1	  1.5976e-02	
          2e-05	        0.00016	              0              4	 1	  1.5572e-02	
          4e-05	        0.00016	              0              4	 1	  1.4419e-02	
          6e-05	        0.00016	              0              4	 1	  1.2687e-02	
          8e-05	        0.00016	              0              4	 1	  1.0612e-02	
         0.0001	        0.00016	              0              4	 1	  8.4412e-03	
        0.00012	        0.00016	              0              4	 1	  6.3896e-03	
        0.00014	        0.00016	              0              4	 1	  4.6058e-03	
        0.00016	        0.00016	              0              4	 1	  3.1641e-03	
        0.00018	        0.00016	              0              4	 1	  2.0734e-03	
         0.0002	        0.00016	              0              4	 1	  1.2973e-03	
        0.00022	        0.00016	              0              4	 1	  7.7579e-04	
        0.00024	        0.00016	              0              4	 1	  4.4388e-04	
        0.00026	        0.00016	              0              4	 1	  2.4327e-04	
        0.00028	        0.00016	              0              4	 1	  1.2785e-04	
         0.0003	        0.00016	              0              4	 1	  6.4505e-05	
        0.00032	        0.00016	              0              4	 1	  3.1280e-05	
        0.00034	        0.00016	              0              4	 1	  1.4595e-05	
        0.00036	        0.00016	              0              4	 1	  6.5607e-06	
        0.00038	        0.00016	              0              4	 1	  2.8442e-06	
         0.0004	        0.00016	              0              4	 1	  1.1905e-06	
        0.00042	        0.00016	              0              4	 1	  4.8164e-07	
        0.00044	        0.00016	              0              4	 1	  1.8855e-07	
        0.00046	        0.00016	              0              4	 1	  7.1500e-08	
        0.00048	        0.00016	              0              4	 1	  2.6290e-08	
         0.0005	        0.00016	              0              4	 1	  9.3830e-09	
        0.00052	        0.00016	              0              4	 1	  3.2536e-09	
        0.00054	        0.00016	              0              4	 1	  1.0972e-09	
        0.00056	        0.00016	              0              4	 1	  3.6013e-10	
        0.00058	        0.00016	              0              4	 1	  1.1516e-10	
         0.0006	        0.00016	              0              4	 1	  3.5906e-11	
        0.00062	        0.00016	              0              4	 1	  1.0921e-11	
        0.00064	        0.00016	              0              4	 1	  3.2393e-12	
        0.00066	        0.00016	              0              4	 1	  9.3417e-13	
        0.00068	        0.00016	              0              4	 1	  2.5808e-13	
         0.0007	        0.00016	              0              4	 1	  6.3847e-14	
        0.00072	        0.00016	              0              4	 1	  1.0159e-14	
        0.00074	        0.00016	              0              4	 1	  0 
        0.00076	        0.00016	              0              4	 1	  0 
        0.00078	        0.00016	              0              4	 1	  0 
         0.0008	        0.00016	              0              4	 1	  0 
        0.00082	        0.00016	              0              4	 1	  0 
        0.00084	        0.00016	              0              4	 1	  0 
        0.00086	        0.00016	              0              4	 1	  0 
        0.00088	        0.00016	              0              4	 1	  0 
         0.0009	        0.00016	              0              4	 1	  0 
        0.00092	        0.00016	              0              4	 1	  0 
        0.00094	        0.00016	              0              4	 1	  0 
        0.00096	        0.00016	              0              4	 1	  0 
        0.00098	        0.00016	              0              4	 1	  0 
          0.001	        0.00016	              0              4	 1	  0 
              0        0.00018	              0              4	 1	  1.0470e-02	
          2e-05	        0.00018	              0              4	 1	  1.0205e-02	
          4e-05	        0.00018	              0              4	 1	  9.4491e-03	
          6e-05	        0.00018	              0              4	 1	  8.3141e-03	
          8e-05	        0.00018	              0              4	 1	  6.9539e-03	
         0.0001	        0.00018	              0              4	 1	  5.5314e-03	
        0.00012	        0.00018	              0              4	 1	  4.1870e-03	
        0.00014	        0.00018	              0              4	 1	  3.0181e-03	
        0.00016	        0.00018	              0              4	 1	  2.0734e-03	
        0.00018	        0.00018	              0              4	 1	  1.3587e-03	
         0.0002	        0.00018	              0              4	 1	  8.5020e-04	
        0.00022	        0.00018	              0              4	 1	  5.0848e-04	
        0.00024	        0.00018	              0              4	 1	  2.9098e-04	
        0.00026	        0.00018	              0              4	 1	  1.5950e-04	
        0.00028	        0.00018	              0              4	 1	  8.3846e-05	
         0.0003	        0.00018	              0              4	 1	  4.2316e-05	
        0.00032	        0.00018	              0              4	 1	  2.0527e-05	
        0.00034	        0.00018	              0              4	 1	  9.5823e-06	
        0.00036	        0.00018	              0              4	 1	  4.3094e-06	
        0.00038	        0.00018	              0              4	 1	  1.8692e-06	
         0.0004	        0.00018	              0              4	 1	  7.8289e-07	
        0.00042	        0.00018	              0              4	 1	  3.1696e-07	
        0.00044	        0.00018	              0              4	 1	  1.2418e-07	
        0.00046	        0.00018	              0              4	 1	  4.7131e-08	
        0.00048	        0.00018	              0              4	 1	  1.7346e-08	
         0.0005	        0.00018	              0              4	 1	  6.1969e-09	
        0.00052	        0.00018	              0              4	 1	  2.1511e-09	
        0.00054	        0.00018	              0              4	 1	  7.2621e-10	
