              x	              y	              z	           time	in	                  A	
             80	           11.5	              0	             40	 1	   0.0000000000e+00	
             84	           11.5	              0	             40	 1	   0.0000000000e+00	
             88	           11.5	              0	             40	 1	   0.0000000000e+00	
             92	           11.5	              0	             40	 1	   0.0000000000e+00	
             96	           11.5	              0	             40	 1	   0.0000000000e+00	
            100	           11.5	              0	             40	 1	   0.0000000000e+00	
              0	           12.5	              0	             40	 1	   0.0000000000e+00	
              4	           12.5	              0	             40	 1	   1.2647114401e-09	
              8	           12.5	              0	             40	 1	   3.3214426778e-09	
             12	           12.5	              0	             40	 1	   4.3605079071e-09	
             16	           12.5	              0	             40	 1	   3.9543456619e-09	
             20	           12.5	              0	             40	 1	   2.8124692101e-09	
             24	           12.5	              0	             40	 1	   1.6774750332e-09	
             28	           12.5	              0	             40	 1	   8.7404870218e-10	
             32	           12.5	              0	             40	 1	   4.0886950071e-10	
             36	           12.5	              0	             40	 1	   1.7507279381e-10	
             40	           12.5	              0	             40	 1	   6.9610869227e-11	
             44	           12.5	              0	             40	 1	   2.5985344821e-11	
             48	           12.5	              0	             40	 1	   9.1855093151e-12	
             52	           12.5	              0	             40	 1	   3.0950792967e-12	
             56	           12.5	              0	             40	 1	   9.9834636863e-13	
             60	           12.5	              0	             40	 1	   3.0846245978e-13	
             64	           12.5	              0	             40	 1	   8.8745844543e-14	
             68	           12.5	              0	             40	 1	   2.3267477171e-14	
             72	           12.5	              0	             40	 1	   0.0000000000e+00	
             76	           12.5	              0	             40	 1	   0.0000000000e+00	
             80	           12.5	              0	             40	 1	   0.0000000000e+00	
             84	           12.5	              0	             40	 1	   0.0000000000e+00	
             88	           12.5	              0	             40	 1	   0.0000000000e+00	
             92	           12.5	              0	             40	 1	   0.0000000000e+00	
             96	           12.5	              0	             40	 1	   0.0000000000e+00	
            100	           12.5	              0	             40	 1	   0.0000000000e+00	
              0	           13.5	              0	             40	 1	   0.0000000000e+00	
              4	           13.5	              0	             40	 1	   1.9786616316e-09	
              8	           13.5	              0	             40	 1	   5.0624298960e-09	
             12	           13.5	              0	             40	 1	   6.5099997027e-09	
             16	           13.5	              0	             40	 1	   5.7995841745e-09	
             20	           13.5	              0	             40	 1	   4.0604631696e-09	
             24	           13.5	              0	             40	 1	   2.3878135071e-09	
             28	           13.5	              0	             40	 1	   1.2282947566e-09	
             32	           13.5	              0	             40	 1	   5.6787291846e-10	
             36	           13.5	              0	             40	 1	   2.4054361002e-10	
             40	           13.5	              0	             40	 1	   9.4692688742e-11	
             44	           13.5	              0	             40	 1	   3.5022419300e-11	
             48	           13.5	              0	             40	 1	   1.2274207590e-11	
             52	           13.5	              0	             40	 1	   4.1035178937e-12	
             56	           13.5	              0	             40	 1	   1.3147207777e-12	
