              x	              y	              z	           time	in	        Pore_volume	                 Na	                 Cl	                  K	                 Ca	       SolidCa,cell	       FluidCa,cell	             exchCa	              totCa	                 PV	           kg_water	
              1	              0	          0.036	            0.5	 1	   0.0000000000e+00	   4.3539344447e-03	   1.1988335292e+00	   1.0598926876e-02	   5.9252358173e-01	   1.1013406805e-07	   1.1875146177e-07	   5.4952723569e-05	   5.9252476254e-05	   5.0004000000e-02	   1.0000019928e-01	
              0	              1	          0.036	            0.5	 1	   0.0000000000e+00	   4.3539344447e-03	   1.1988335292e+00	   1.0598926876e-02	   5.9252358173e-01	   1.1013406805e-07	   1.1875146177e-07	   5.4952723569e-05	   5.9252476254e-05	   5.0004000000e-02	   1.0000019928e-01	
              1	              1	          0.036	            0.5	 1	   0.0000000000e+00	   4.3539344447e-03	   1.1988335292e+00	   1.0598926876e-02	   5.9252358173e-01	   1.1013406805e-07	   1.1875146177e-07	   5.4952723569e-05	   5.9252476254e-05	   5.0004000000e-02	   1.0000019928e-01	
              0	              0	          0.038	            0.5	 1	   0.0000000000e+00	   5.8814317679e-03	   1.1984707454e+00	   1.4661892145e-02	   5.8972835451e-01	   1.1008550067e-07	   1.1818169311e-07	   5.4930687339e-05	   5.8970541934e-05	   5.0002000000e-02	   9.9996110892e-02	
              1	              0	          0.038	            0.5	 1	   0.0000000000e+00	   5.8814317679e-03	   1.1984707454e+00	   1.4661892145e-02	   5.8972835451e-01	   1.1008550067e-07	   1.1818169311e-07	   5.4930687339e-05	   5.8970541934e-05	   5.0002000000e-02	   9.9996110892e-02	
              0	              1	          0.038	            0.5	 1	   0.0000000000e+00	   5.8814317679e-03	   1.1984707454e+00	   1.4661892145e-02	   5.8972835451e-01	   1.1008550067e-07	   1.1818169311e-07	   5.4930687339e-05	   5.8970541934e-05	   5.0002000000e-02	   9.9996110892e-02	
              1	              1	          0.038	            0.5	 1	   0.0000000000e+00	   5.8814317679e-03	   1.1984707454e+00	   1.4661892145e-02	   5.8972835451e-01	   1.1008550067e-07	   1.1818169311e-07	   5.4930687339e-05	   5.8970541934e-05	   5.0002000000e-02	   9.9996110892e-02	
              0	              0	           0.04	            0.5	 1	   0.0000000000e+00	   7.9021939854e-03	   1.1980105567e+00	   2.0197983359e-02	   5.8594993246e-01	   1.1002235839e-07	   1.1741497098e-07	   5.4901376440e-05	   5.8590304880e-05	   5.0000000000e-02	   9.9991998692e-02	
              1	              0	           0.04	            0.5	 1	   0.0000000000e+00	   7.9021939854e-03	   1.1980105567e+00	   2.0197983359e-02	   5.8594993246e-01	   1.1002235839e-07	   1.1741497098e-07	   5.4901376440e-05	   5.8590304880e-05	   5.0000000000e-02	   9.9991998692e-02	
              0	              1	           0.04	            0.5	 1	   0.0000000000e+00	   7.9021939854e-03	   1.1980105567e+00	   2.0197983359e-02	   5.8594993246e-01	   1.1002235839e-07	   1.1741497098e-07	   5.4901376440e-05	   5.8590304880e-05	   5.0000000000e-02	   9.9991998692e-02	
              1	              1	           0.04	            0.5	 1	   0.0000000000e+00	   7.9021939854e-03	   1.1980105567e+00	   2.0197983359e-02	   5.8594993246e-01	   1.1002235839e-07	   1.1741497098e-07	   5.4901376440e-05	   5.8590304880e-05	   5.0000000000e-02	   9.9991998692e-02	
              0	              0	          0.042	            0.5	 1	   0.0000000000e+00	   1.0563913043e-02	   1.1974312417e+00	   2.7716881748e-02	   5.8085962821e-01	   1.0993940081e-07	   1.1638547936e-07	   5.4862174929e-05	   5.8078909661e-05	   4.9998000000e-02	   9.9987857376e-02	
              1	              0	          0.042	            0.5	 1	   0.0000000000e+00	   1.0563913043e-02	   1.1974312417e+00	   2.7716881748e-02	   5.8085962821e-01	   1.0993940081e-07	   1.1638547936e-07	   5.4862174929e-05	   5.8078909661e-05	   4.9998000000e-02	   9.9987857376e-02	
              0	              1	          0.042	            0.5	 1	   0.0000000000e+00	   1.0563913043e-02	   1.1974312417e+00	   2.7716881748e-02	   5.8085962821e-01	   1.0993940081e-07	   1.1638547936e-07	   5.4862174929e-05	   5.8078909661e-05	   4.9998000000e-02	   9.9987857376e-02	
              1	              1	          0.042	            0.5	 1	   0.0000000000e+00	   1.0563913043e-02	   1.1974312417e+00	   2.7716881748e-02	   5.8085962821e-01	   1.0993940081e-07	   1.1638547936e-07	   5.4862174929e-05	   5.8078909661e-05	   4.9998000000e-02	   9.9987857376e-02	
              0	              0	          0.044	            0.5	 1	   0.0000000000e+00	   1.4055797491e-02	   1.1967073980e+00	   3.7897623837e-02	   5.7402331703e-01	   1.0982945740e-07	   1.1500629875e-07	   5.4809503224e-05	   5.7392964066e-05	   4.9996000000e-02	   9.9983680737e-02	
              1	              0	          0.044	            0.5	 1	   0.0000000000e+00	   1.4055797491e-02	   1.1967073980e+00	   3.7897623837e-02	   5.7402331703e-01	   1.0982945740e-07	   1.1500629875e-07	   5.4809503224e-05	   5.7392964066e-05	   4.9996000000e-02	   9.9983680737e-02	
              0	              1	          0.044	            0.5	 1	   0.0000000000e+00	   1.4055797491e-02	   1.1967073980e+00	   3.7897623837e-02	   5.7402331703e-01	   1.0982945740e-07	   1.1500629875e-07	   5.4809503224e-05	   5.7392964066e-05	   4.9996000000e-02	   9.9983680737e-02	
              1	              1	          0.044	            0.5	 1	   0.0000000000e+00	   1.4055797491e-02	   1.1967073980e+00	   3.7897623837e-02	   5.7402331703e-01	   1.0982945740e-07	   1.1500629875e-07	   5.4809503224e-05	   5.7392964066e-05	   4.9996000000e-02	   9.9983680737e-02	
              0	              0	          0.046	            0.5	 1	   0.0000000000e+00	   1.8619735301e-02	   1.1958095973e+00	   5.1642507943e-02	   5.6486890068e-01	   1.0968263452e-07	   1.1316289709e-07	   5.4738422162e-05	   5.6475288558e-05	   4.9994000000e-02	   9.9979461587e-02	
              1	              0	          0.046	            0.5	 1	   0.0000000000e+00	   1.8619735301e-02	   1.1958095973e+00	   5.1642507943e-02	   5.6486890068e-01	   1.0968263452e-07	   1.1316289709e-07	   5.4738422162e-05	   5.6475288558e-05	   4.9994000000e-02	   9.9979461587e-02	
              0	              1	          0.046	            0.5	 1	   0.0000000000e+00	   1.8619735301e-02	   1.1958095973e+00	   5.1642507943e-02	   5.6486890068e-01	   1.0968263452e-07	   1.1316289709e-07	   5.4738422162e-05	   5.6475288558e-05	   4.9994000000e-02	   9.9979461587e-02	
              1	              1	          0.046	            0.5	 1	   0.0000000000e+00	   1.8619735301e-02	   1.1958095973e+00	   5.1642507943e-02	   5.6486890068e-01	   1.0968263452e-07	   1.1316289709e-07	   5.4738422162e-05	   5.6475288558e-05	   4.9994000000e-02	   9.9979461587e-02	
