              x	              y	              z	           time	in	          Cl	
              2	              5	              4	             10	 1	  9.7202e-01	
              3	              5	              4	             10	 1	  9.5293e-01	
              4	              5	              4	             10	 1	  9.3078e-01	
              5	              5	              4	             10	 1	  9.0581e-01	
              6	              5	              4	             10	 1	  8.8708e-01	
              7	              5	              4	             10	 1	  8.6977e-01	
              8	              5	              4	             10	 1	  8.5533e-01	
              9	              5	              4	             10	 1	  8.4536e-01	
             10	              5	              4	             10	 1	  8.4171e-01	
              0	              6	              4	             10	 1	  1.0000e+00	
              1	              6	              4	             10	 1	  9.8707e-01	
              2	              6	              4	             10	 1	  9.7102e-01	
              3	              6	              4	             10	 1	  9.5207e-01	
              4	              6	              4	             10	 1	  9.3059e-01	
