         X         Y         Z         A         B         C         D
  96.46310  10.40210   0.00000   0.00000   0.00001   0.00052   0.00285
  96.45360   8.36724   0.00000   0.00000   0.00002   0.00100   0.00541
  96.35440   6.27460   0.00000   0.00000   0.00004   0.00168   0.00903
  94.43950   5.53582   0.00000   0.00000   0.00005   0.00239   0.01258
  92.54560   5.18028   0.00000   0.00000   0.00007   0.00309   0.01597
  94.72560   7.49089   0.00000   0.00000   0.00003   0.00152   0.00808
  93.08510   6.86148   0.00000   0.00000   0.00005   0.00209   0.01093
  90.70500   5.06290   0.00000   0.00000   0.00009   0.00378   0.01914
  91.48470   6.60880   0.00000   0.00000   0.00006   0.00260   0.01333
  94.79060   9.41072   0.00000   0.00000   0.00002   0.00087   0.00467
  93.26360   8.52894   0.00000   0.00000   0.00003   0.00134   0.00703
  92.06560   7.86123   0.00000   0.00000   0.00004   0.00181   0.00939
  94.72130  11.37330   0.00000   0.00000   0.00001   0.00043   0.00235
  94.58130  13.42610   0.00000   0.00000   0.00000   0.00018   0.00098
  94.41000  15.60680   0.00000   0.00000   0.00000   0.00006   0.00032
  94.25610  17.95260   0.00000   0.00000   0.00000   0.00001   0.00008
  92.15100  18.98240   0.00000   0.00000   0.00000   0.00001   0.00005
  90.45290  19.78500   0.00000   0.00000   0.00000   0.00001   0.00003
  88.70480  19.64130   0.00000   0.00000   0.00000   0.00001   0.00004
  86.67200  19.67650   0.00000   0.00000   0.00000   0.00001   0.00004
  88.82660   5.08048   0.00000   0.00000   0.00011   0.00449   0.02228
