ID	x	y	z	p4f	H*	O*	Charge	Ap	Bp	Cp	Dp	p4f	sim	state	soln	dist_x	time	step	pH	pe	mass_H2O	charge(eq)	k_R_1	dk_R_1	k_R_2	dk_R_2	k_R_3	dk_R_3	k_R_4	dk_R_4
842	22.449	0	14.8	4.16724e-005	-0.415829	-0.207914	-3.12075e-018	2.00341e-009	8.89529e-007	8.92272e-006	1.8225e-005	-99999	1	1e+030	842	-99	864000	1	6.99977	12.079	0.0997043	-3.12075e-019	10	-2.00341e-010	1	-2.21881e-008	0.999998	-9.6676e-008	0.999998	-9.08327e-008
843	24.4898	0	14.8	6.2027e-005	-0.415829	-0.207914	-3.12016e-018	2.92339e-009	1.23749e-006	1.27994e-005	2.70249e-005	-99999	1	1e+030	843	-99	864000	1	6.99977	12.1189	0.0997043	-3.12016e-019	10	-2.26223e-010	0.999999	-2.87489e-008	0.999997	-1.35462e-007	0.999998	-1.35111e-007
844	26.5306	0	14.8	8.95874e-005	-0.415829	-0.207914	-3.12014e-018	3.60277e-009	1.63838e-006	1.77534e-005	3.89053e-005	-99999	1	1e+030	844	-99	864000	1	6.99977	12.1545	0.0997043	-3.12014e-019	10	-2.78796e-010	0.999999	-3.80658e-008	0.999996	-1.88029e-007	0.999997	-1.9476e-007
845	28.5714	0	14.8	0.000125893	-0.415829	-0.207914	-3.12036e-018	4.23277e-009	2.09801e-006	2.39025e-005	5.44516e-005	-99999	1	1e+030	845	-99	864000	1	6.99977	12.186	0.0997043	-3.12036e-019	10	-3.27548e-010	0.999999	-4.87498e-008	0.999995	-2.53344e-007	0.999996	-2.72941e-007
846	30.6122	0	14.8	0.000172523	-0.415829	-0.207914	-3.11994e-018	4.76831e-009	2.60651e-006	3.13162e-005	7.42568e-005	-99999	1	1e+030	846	-99	864000	1	6.99977	12.2135	0.0997043	-3.11994e-019	10	-3.68988e-010	0.999999	-6.05714e-008	0.999994	-3.32171e-007	0.999994	-3.72699e-007
847	32.6531	0	14.8	0.000231011	-0.415829	-0.207914	-3.11994e-018	5.57074e-009	3.17872e-006	4.00557e-005	9.87987e-005	-99999	1	1e+030	847	-99	864000	1	6.99977	12.2373	0.0997043	-3.11994e-019	10	-3.61387e-010	0.999999	-7.03424e-008	0.999993	-4.17755e-007	0.999992	-4.9608e-007
848	34.6939	0	14.8	0.000302769	-0.415829	-0.207914	-3.11933e-018	5.83889e-009	3.74494e-006	5.00129e-005	0.000128641	-99999	1	1e+030	848	-99	864000	1	6.99977	12.2573	0.0997043	-3.11933e-019	10	-3.78783e-010	0.999998	-8.28769e-008	0.999991	-5.2185e-007	0.99999	-6.46479e-007
849	36.7347	0	14.8	0.000388984	-0.415829	-0.207914	-3.11933e-018	5.90627e-009	4.30727e-006	6.11183e-005	0.000164061	-99999	1	1e+030	849	-99	864000	1	6.99977	12.2738	0.0997043	-3.11933e-019	10	-3.83153e-010	0.999998	-9.53266e-008	0.999989	-6.38023e-007	0.999988	-8.25172e-007
850	38.7755	0	14.8	0.000490527	-0.415829	-0.207914	-3.11913e-018	5.77804e-009	4.84536e-006	7.32167e-005	0.000205215	-99999	1	1e+030	850	-99	864000	1	6.99977	12.2868	0.0997043	-3.11913e-019	10	-3.74834e-010	0.999998	-1.07241e-007	0.999988	-7.64669e-007	0.999986	-1.033e-006
851	40.8163	0	14.8	0.000607851	-0.415829	-0.207914	-3.1185e-018	5.49135e-009	5.34191e-006	8.61055e-005	0.000252057	-99999	1	1e+030	851	-99	864000	1	6.99977	12.2962	0.0997043	-3.1185e-019	10	-3.56236e-010	0.999998	-1.18237e-007	0.999986	-8.99672e-007	0.999983	-1.26979e-006
852	42.8571	0	14.8	0.000740887	-0.415829	-0.207914	-3.11831e-018	5.09325e-009	5.78249e-006	9.95397e-005	0.000304309	-99999	1	1e+030	852	-99	864000	1	6.99977	12.3023	0.0997043	-3.11831e-019	10	-3.30411e-010	0.999998	-1.27993e-007	0.999985	-1.04047e-006	0.99998	-1.53416e-006
853	44.898	0	14.8	0.00088896	-0.415829	-0.207914	-3.11769e-018	4.62615e-009	6.15527e-006	0.000113239	0.000361447	-99999	1	1e+030	853	-99	864000	1	6.99977	12.3049	0.0997043	-3.11769e-019	10	-3.00108e-010	0.999998	-1.3625e-007	0.999983	-1.18414e-006	0.999978	-1.82352e-006
854	46.9388	0	14.8	0.0010507	-0.415829	-0.207914	-3.11687e-018	4.12778e-009	6.45152e-006	0.0001269	0.000422694	-99999	1	1e+030	854	-99	864000	1	6.99977	12.3042	0.0997043	-3.11687e-019	10	-2.67779e-010	0.999998	-1.42812e-007	0.999982	-1.32749e-006	0.999975	-2.13396e-006
855	48.9796	0	14.8	0.00122401	-0.415829	-0.207914	-3.11688e-018	3.63393e-009	6.6659e-006	0.000140204	0.000487015	-99999	1	1e+030	855	-99	864000	1	6.99977	12.3002	0.0997043	-3.11688e-019	10	-2.35742e-010	0.999998	-1.47562e-007	0.999981	-1.46717e-006	0.999973	-2.46024e-006
