              x	              y	              z	           time	in	        Cl(mol/kgw)	
              9	              0	              4	             10	 1	   8.2092463404e-01	
             10	              0	              4	             10	 1	   8.1594695595e-01	
              0	              1	              4	             10	 1	   1.0000000000e+00	
              1	              1	              4	             10	 1	   9.9025275316e-01	
              2	              1	              4	             10	 1	   9.7555888320e-01	
              3	              1	              4	             10	 1	   9.5557485734e-01	
              4	              1	              4	             10	 1	   9.2971329570e-01	
              5	              1	              4	             10	 1	   8.9680045716e-01	
              6	              1	              4	             10	 1	   8.7447119050e-01	
              7	              1	              4	             10	 1	   8.5313050859e-01	
              8	              1	              4	             10	 1	   8.3472723583e-01	
              9	              1	              4	             10	 1	   8.2157685812e-01	
             10	              1	              4	             10	 1	   8.1663476565e-01	
              0	              2	              4	             10	 1	   1.0000000000e+00	
              1	              2	              4	             10	 1	   9.9018041527e-01	
              2	              2	              4	             10	 1	   9.7543059608e-01	
              3	              2	              4	             10	 1	   9.5548406518e-01	
              4	              2	              4	             10	 1	   9.2983510109e-01	
              5	              2	              4	             10	 1	   8.9737526458e-01	
              6	              2	              4	             10	 1	   8.7541781719e-01	
