              x	              y	              z	           time	in	                  A	                  B	                  C	                  D	
             84	           -1.5	             -5	            400	 1	   2.6963184022e-13	   1.2981382622e-08	   7.2010854985e-07	   4.1179951660e-06	
             88	           -1.5	             -5	            400	 1	   1.7998151997e-13	   1.0304853282e-08	   5.9126311110e-07	   3.4350191160e-06	
             92	           -1.5	             -5	            400	 1	   1.1748162686e-13	   7.8456264851e-09	   4.6373475544e-07	   2.7317918188e-06	
             96	           -1.5	             -5	            400	 1	   7.0506693011e-14	   5.7365734491e-09	   3.4809017416e-07	   2.0758586055e-06	
            100	           -1.5	             -5	            400	 1	   0.0000000000e+00	   4.0333817787e-09	   2.5050490849e-07	   1.5102709752e-06	
            104	           -1.5	             -5	            400	 1	   0.0000000000e+00	   2.7303260347e-09	   1.7312484854e-07	   1.0539563425e-06	
            108	           -1.5	             -5	            400	 1	   0.0000000000e+00	   1.7815677640e-09	   1.1507718403e-07	   7.0670999223e-07	
            112	           -1.5	             -5	            400	 1	   0.0000000000e+00	   1.1218281693e-09	   7.3676523518e-08	   4.5603081899e-07	
            116	           -1.5	             -5	            400	 1	   0.0000000000e+00	   6.8243130305e-10	   4.5494772094e-08	   2.8360511710e-07	
            120	           -1.5	             -5	            400	 1	   0.0000000000e+00	   4.0146858322e-10	   2.7128823465e-08	   1.7021098234e-07	
            124	           -1.5	             -5	            400	 1	   0.0000000000e+00	   2.2863090279e-10	   1.5640386006e-08	   9.8709787709e-08	
            128	           -1.5	             -5	            400	 1	   0.0000000000e+00	   1.2615937690e-10	   8.7274857143e-09	   5.5378380803e-08	
            132	           -1.5	             -5	            400	 1	   0.0000000000e+00	   6.7514360740e-11	   4.7185111172e-09	   3.0088629245e-08	
            136	           -1.5	             -5	            400	 1	   0.0000000000e+00	   3.5069866024e-11	   2.4740898189e-09	   1.5848541727e-08	
            140	           -1.5	             -5	            400	 1	   0.0000000000e+00	   1.7698103266e-11	   1.2593991641e-09	   8.1014694140e-09	
            144	           -1.5	             -5	            400	 1	   0.0000000000e+00	   8.6559805398e-12	   6.2093206058e-10	   4.0099181825e-09	
            148	           -1.5	             -5	            400	 1	   0.0000000000e+00	   4.5012260207e-12	   3.2511462478e-10	   2.1063375866e-09	
