x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
1.1	0.68125	1	0.295881	0.000715552	0.199715	1.39111e-023	0	1.38927e-009	0.00014333	1.93836e-020	0	0.00296591	0.0290452	2.75798e-025	9.99926	0.000740365	3.77374e-013	0.295881	0.305396	0.296632	0.00296591	0	10	0	0	0	0	3.75	0.375	61	1.01405	-0.0977514	-0.207913	-0.571072	0.295234	0.295247	0.00340764	
1.08303	0.728125	1	0.298116	0.000709222	0.205857	7.10032e-024	0	1.40167e-009	0.000146431	9.98181e-021	0	0.00159994	0.0291039	7.71426e-026	9.99926	0.00074306	1.97817e-013	0.298116	0.300523	0.298857	0.00159994	0	10	0	0	0	0	5	0.5	62	1.01095	-0.109999	-0.207913	-0.589551	0.297874	0.297873	0.00176053	
1	0.73125	1	0.299114	0.000705321	0.207314	1.07334e-023	0	1.40942e-009	0.000146656	1.51728e-020	0	0.00241642	0.0281311	1.84237e-025	9.99927	0.00073604	3.04026e-013	0.299114	0.294037	0.299839	0.00241642	0	10	0	0	0	0	3.75	0.375	63	1.00095	-0.114342	-0.207913	-0.598237	0.299114	0.299104	0.00241068	
1.05667	0.682477	1	0.299102	0.000704991	0.206896	1.27629e-023	0	1.41008e-009	0.000146292	1.80502e-020	0	0.00285064	0.0278306	2.61476e-025	9.99927	0.000733524	3.62022e-013	0.299102	0.29276	0.299819	0.00285064	0	10	0	0	0	0	5	0.5	64	1.00618	-0.113852	-0.207913	-0.598113	0.299097	0.299081	0.00284451	
1.06606	0.735712	1	0.299018	0.000706208	0.207735	7.52992e-024	0	1.40765e-009	0.000147139	1.06309e-020	0	0.00171417	0.028661	8.97669e-026	9.99926	0.000740322	2.12484e-013	0.299018	0.296541	0.299748	0.00171417	0	10	0	0	0	0	5	0.5	65	1.0077	-0.114507	-0.207913	-0.597332	0.298985	0.298975	0.00172613	
1.0269	0.689646	1	0.299114	0.000704561	0.206518	1.4898e-023	0	1.41094e-009	0.000145936	2.10826e-020	0	0.00330126	0.0275102	3.58018e-025	9.99927	0.000730847	4.23357e-013	0.299114	0.29135	0.299829	0.00330126	0	10	0	0	0	0	5	0.5	66	1.0028	-0.113472	-0.207913	-0.598233	0.299114	0.299098	0.00329417	
1.06767	0.716546	1	0.299032	0.000706015	0.207601	8.35789e-024	0	1.40804e-009	0.000147004	1.18031e-020	0	0.0018969	0.0285273	1.10836e-025	9.99926	0.000739237	2.36042e-013	0.299032	0.295931	0.29976	0.0018969	0	10	0	0	0	0	5	0.5	67	1.00825	-0.11439	-0.207913	-0.597445	0.299001	0.298991	0.00191003	
1.055	0.701829	1	0.299102	0.00070522	0.20714	1.14977e-023	0	1.40962e-009	0.000146512	1.62555e-020	0	0.00258049	0.02802	2.11653e-025	9.99927	0.000735105	3.25816e-013	0.299102	0.293579	0.299823	0.00258049	0	10	0	0	0	0	5	0.5	68	1.00604	-0.114116	-0.207913	-0.59811	0.299096	0.299082	0.00257466	
1.04391	0.724195	1	0.299116	0.000705263	0.207267	1.10023e-023	0	1.40954e-009	0.000146611	1.55541e-020	0	0.00247444	0.0280888	1.9371e-025	9.99927	0.000735691	3.11718e-013	0.299116	0.293845	0.299839	0.00247444	0	10	0	0	0	0	5	0.5	69	1.00464	-0.114295	-0.207913	-0.598241	0.299115	0.299102	0.00246704	
1.07872	0.694212	1	0.298758	0.000706876	0.206972	8.53069e-024	0	1.40632e-009	0.000146738	1.20325e-020	0	0.00192795	0.0286156	1.14345e-025	9.99926	0.000739698	2.40042e-013	0.298758	0.29694	0.299489	0.00192795	0	10	0	0	0	0	5	0.5	70	1.00998	-0.112965	-0.207913	-0.5951	0.298666	0.298658	0.00198804	
