              x	              y	              z	           time	in	                 pH	                 Ca	                 Mg	                 Na	                 Cl	               C(4)	                SO4	                 As	                vol	                sat	                 pv	                por	      trans_cell_no	                 vx	                 vy	                 vz	
          63000	           3000	              0	         500000	 1	   8.3540470555e+00	   3.0049203812e+00	   1.3014747082e+00	   1.9331535749e+02	   4.7401551672e+00	   4.9735165249e+02	   2.2566958044e+01	   3.3317279423e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   5.3000000000e+01	   2.5801690535e-01	  -1.3779991996e-01	   0.0000000000e+00	
          66000	           3000	              0	         500000	 1	   8.3513150239e+00	   3.0226157303e+00	   1.3093884539e+00	   1.9322658562e+02	   4.7401550228e+00	   4.9728071895e+02	   2.2566957857e+01	   3.2931375162e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   5.4000000000e+01	   2.8556646441e-01	  -1.3595144577e-01	   0.0000000000e+00	
          69000	           3000	              0	         500000	 1	   8.3493438178e+00	   3.0354546987e+00	   1.3151303235e+00	   1.9316246074e+02	   4.7401549120e+00	   4.9722962943e+02	   2.2566957721e+01	   3.2655577684e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   5.5000000000e+01	   3.0065644707e-01	  -1.3323408117e-01	   0.0000000000e+00	
          72000	           3000	              0	         500000	 1	   8.3481207306e+00	   3.0434512392e+00	   1.3187065539e+00	   1.9312264209e+02	   4.7401548231e+00	   4.9719796895e+02	   2.2566957637e+01	   3.2485446171e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   5.6000000000e+01	   3.0134782314e-01	  -1.2983482900e-01	   0.0000000000e+00	
          75000	           3000	              0	         500000	 1	   8.3477211774e+00	   3.0460685674e+00	   1.3198770815e+00	   1.9310962619e+02	   4.7401547534e+00	   4.9718762887e+02	   2.2566957609e+01	   3.2429790747e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   5.7000000000e+01	   2.8631888189e-01	  -1.2604755688e-01	   0.0000000000e+00	
          78000	           3000	              0	         500000	 1	   8.3483266069e+00	   3.0421037078e+00	   1.3181039088e+00	   1.9312932332e+02	   4.7401547056e+00	   4.9720326614e+02	   2.2566957651e+01	   3.2513193394e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   5.8000000000e+01	   2.5506761228e-01	  -1.2226565656e-01	   0.0000000000e+00	
          81000	           3000	              0	         500000	 1	   8.3502456224e+00	   3.0295740259e+00	   1.3125003607e+00	   1.9319171056e+02	   4.7401546880e+00	   4.9725286924e+02	   2.2566957783e+01	   3.2779887609e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   5.9000000000e+01	   2.0817864638e-01	  -1.1892642798e-01	   0.0000000000e+00	
          84000	           3000	              0	         500000	 1	   8.3538219737e+00	   3.0063753190e+00	   1.3021253997e+00	   1.9330776148e+02	   4.7401547158e+00	   4.9734542671e+02	   2.2566958028e+01	   3.3283276052e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   6.0000000000e+01	   1.4756844231e-01	  -1.1639774405e-01	   0.0000000000e+00	
          87000	           3000	              0	         500000	 1	   8.3588344960e+00	   2.9741909441e+00	   1.2877318738e+00	   1.9346995116e+02	   4.7401548123e+00	   4.9747541055e+02	   2.2566958368e+01	   3.4002556325e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   6.1000000000e+01	   7.6601566158e-02	  -1.1487181017e-01	   0.0000000000e+00	
          90000	           3000	              0	         500000	 1	   8.3618664092e+00	   2.9549087371e+00	   1.2791084755e+00	   1.9356786008e+02	   4.7401549795e+00	   4.9755426510e+02	   2.2566958572e+01	   3.4446541138e+01	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   6.2000000000e+01	  -0.0000000000e+00	  -1.1437175187e-01	   0.0000000000e+00	
              0	           6000	              0	         500000	 1	   7.7926308466e+00	   7.5424356865e+00	   3.2856121369e+00	   8.0804803021e+02	   3.9386150700e+02	   9.8897409376e+02	   2.3279206990e+01	   3.9473716969e+00	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   6.3000000000e+01	   0.0000000000e+00	  -2.9781947856e-01	   0.0000000000e+00	
           3000	           6000	              0	         500000	 1	   8.4245322026e+00	   2.2191290280e+00	   9.4513597917e-01	   4.0000527186e+02	   1.0088949490e+02	   6.8646315170e+02	   2.2742987414e+01	   4.7834112145e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   6.4000000000e+01	  -5.1460075721e-02	  -3.0023681626e-01	   0.0000000000e+00	
           6000	           6000	              0	         500000	 1	   8.7244641384e+00	   1.3164298144e+00	   5.4522864904e-01	   2.8387853379e+02	   3.1704780564e+01	   5.8973387008e+02	   2.2616342144e+01	   1.6337939377e+02	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   6.5000000000e+01	  -1.0034602392e-01	  -3.0731849556e-01	   0.0000000000e+00	
           9000	           6000	              0	         500000	 1	   8.8320592945e+00	   1.1171140125e+00	   4.5682994184e-01	   2.4297686842e+02	   1.3384145416e+01	   5.5076323536e+02	   2.2582804661e+01	   2.5406472336e+02	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   6.6000000000e+01	  -1.4521108299e-01	  -3.1871008220e-01	   0.0000000000e+00	
          12000	           6000	              0	         500000	 1	   8.8566309051e+00	   1.0863064826e+00	   4.4328541872e-01	   2.2581972031e+02	   7.6885261249e+00	   5.3284051381e+02	   2.2572377935e+01	   2.8047375041e+02	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   6.7000000000e+01	  -1.8475279433e-01	  -3.3393077847e-01	   0.0000000000e+00	
          15000	           6000	              0	         500000	 1	   8.8286616346e+00	   1.1521616419e+00	   4.7282909161e-01	   2.1635803179e+02	   5.7974309429e+00	   5.2209809185e+02	   2.2568914930e+01	   2.4912256390e+02	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   6.8000000000e+01	  -2.1765339795e-01	  -3.5232938735e-01	   0.0000000000e+00	
